iter	Passed	Remaining
529	740	377
530	742	376
531	743	374
532	744	372
533	746	372
534	747	370
535	748	368
536	749	367
537	750	365
538	752	364
539	753	363
540	758	362
541	760	361
542	760	360
543	761	358
544	761	356
545	762	354
546	764	353
547	767	352
548	768	351
549	771	350
550	772	348
551	772	347
552	773	345
553	774	343
554	774	342
555	775	340
556	776	338
557	776	336
558	777	335
559	778	333
560	778	331
561	779	330
562	784	330
563	785	328
564	787	327
565	788	325
566	791	325
567	792	323
568	793	322
569	793	320
570	798	320
571	803	320
572	804	318
573	806	317
574	807	315
575	808	314
576	808	312
577	809	310
578	809	309
579	811	307
580	814	306
581	815	305
582	819	305
583	820	303
584	821	301
585	821	300
586	822	298
587	823	296
588	825	295
589	828	295
590	833	294
591	835	293
592	836	291
593	837	290
594	840	289
595	842	288
596	845	287
597	846	286
598	848	284
599	849	283
600	850	281
601	851	279
602	851	278
603	853	276
604	854	275
605	855	273
606	856	272
607	858	271
608	860	269
609	863	268
610	863	267
611	864	265
612	865	263
613	865	262
614	866	260
615	867	259
616	873	259
617	877	258
618	879	257
619	879	255
620	880	253
621	880	252
622	881	250
623	890	251
624	892	249
625	892	248
626	893	246
627	894	245
628	895	243
629	902	243
630	906	242
631	906	241
632	907	239
633	908	237
634	908	236
635	909	234
636	909	232
637	910	231
638	913	230
639	917	229
640	921	228
641	921	226
642	922	225
643	922	223
644	923	221
645	925	220
646	927	219
647	928	217
648	933	217
649	935	215
650	936	214
651	937	212
652	938	211
653	938	209
654	939	208
655	940	206
656	941	204
657	941	203
658	942	201
659	943	200
660	944	198
661	946	197
662	951	196
663	955	195
664	956	194
665	957	192
666	958	191
667	959	189
668	961	188
669	965	187
670	969	186
671	970	184
672	971	183
673	972	181
674	973	180
675	976	179
676	983	178
677	984	177
678	984	175
679	985	173
680	986	172
681	986	170
682	988	169
683	989	167
684	991	166
685	992	164
686	993	163
687	994	161
688	998	160
689	1002	159
690	1003	158
691	1005	156
692	1006	155
693	1007	153
694	1011	152
695	1017	151
696	1026	151
697	1029	150
698	1030	148
699	1031	147
700	1035	146
701	1037	144
702	1039	143
703	1045	142
704	1049	141
705	1050	139
706	1051	138
707	1053	136
708	1056	135
709	1058	134
710	1059	132
711	1060	131
712	1061	129
713	1062	127
714	1063	126
715	1065	124
716	1075	124
717	1076	122
718	1078	121
719	1078	119
720	1079	118
721	1088	117
722	1091	116
723	1093	114
724	1094	113
725	1094	111
726	1096	110
727	1097	108
728	1102	107
729	1103	105
730	1105	104
731	1106	102
732	1107	101
733	1111	99
734	1116	98
735	1117	97
736	1119	95
737	1121	94
738	1122	92
739	1123	91
740	1131	90
741	1132	88
742	1133	86
743	1134	85
744	1144	84
745	1146	82
746	1146	81
747	1147	79
748	1148	78
749	1148	76
750	1149	75
751	1152	73
752	1155	72
753	1160	70
754	1160	69
755	1161	67
756	1162	66
757	1162	64
758	1163	62
759	1165	61
760	1167	59
761	1167	58
762	1170	56
763	1174	55
764	1175	53
765	1175	52
766	1176	50
767	1177	49
768	1177	47
769	1178	45
770	1179	44
771	1179	42
772	1181	41
773	1185	39
774	1188	38
775	1189	36
776	1191	35
777	1192	33
778	1193	32
779	1194	30
780	1197	29
