iter	RMSE
200	0.2422566178
201	0.24124609
202	0.2404366538
203	0.2393555921
204	0.2383392385
205	0.2370787442
206	0.2363305973
207	0.2356451509
208	0.234717364
209	0.2336736298
210	0.2326888481
211	0.2318365641
212	0.2309236994
213	0.2302624488
214	0.2292622228
215	0.2283383286
216	0.2273594779
217	0.2263311267
218	0.2256229603
219	0.2248135633
220	0.2242242844
221	0.223583114
222	0.2225950375
223	0.2216708248
224	0.2208166786
225	0.2201424431
226	0.2195921398
227	0.2190356415
228	0.2184577884
229	0.217504739
230	0.2165381537
231	0.2157570234
232	0.2153291609
233	0.2145381585
234	0.2138494178
235	0.2132320552
236	0.2123253302
237	0.2118115563
238	0.2111840332
239	0.2105635979
240	0.2099241221
241	0.2092474618
242	0.2086313962
243	0.2079470957
244	0.207501778
245	0.2069001275
246	0.2063760293
247	0.2056214624
248	0.2051139049
249	0.204578104
250	0.2038634888
251	0.2033697537
252	0.2029051815
253	0.2020435271
254	0.2010383161
255	0.2004192161
256	0.199883707
257	0.199455987
258	0.1987776932
259	0.197965647
260	0.1971898644
261	0.1967155957
262	0.196296615
263	0.195842135
264	0.1953795936
265	0.1949071418
266	0.1944099823
267	0.19375541
268	0.1929472934
269	0.1920839663
270	0.1917023574
271	0.1913214532
272	0.1905281136
273	0.1900172011
274	0.189428133
275	0.1888845993
276	0.1884182436
277	0.1877713709
278	0.1872586801
279	0.1868172688
280	0.1863801607
281	0.1858671359
282	0.1852304175
283	0.1848579459
284	0.1844537456
285	0.1840193654
286	0.1834933075
287	0.1830504646
288	0.1826933769
289	0.1823402599
290	0.1820012324
291	0.1815933898
292	0.181148788
293	0.1806648815
294	0.1799938884
295	0.1793220806
296	0.178703979
297	0.1783463472
298	0.178101756
299	0.1777217546
300	0.1773888929
301	0.1769017235
302	0.1765483452
303	0.1759391755
304	0.1754518103
305	0.1748940257
306	0.1745461521
307	0.1739499
308	0.1736506695
309	0.1732513696
310	0.1727319093
311	0.172352649
312	0.1717531163
313	0.171517761
314	0.171124037
315	0.1707563388
316	0.1704058742
317	0.1700714023
318	0.169545009
319	0.169049915
320	0.1686011356
321	0.1681975648
322	0.1678441078
323	0.167475974
324	0.1670250443
325	0.1666424409
326	0.1662798335
327	0.1659931297
328	0.1656165478
329	0.1651420602
330	0.1647381761
331	0.164311394
332	0.1640578586
333	0.1637138698
334	0.1633586215
335	0.1628907927
336	0.1624835622
337	0.1620952104
338	0.1617332549
339	0.1614016073
340	0.1610378735
341	0.1606308299
342	0.1602880523
343	0.1599521314
344	0.1596234384
345	0.1592663489
346	0.1589561371
347	0.1586889993
348	0.1583268739
349	0.157929328
350	0.1576218527
351	0.1571962026
352	0.1568710585
353	0.156566745
354	0.1562742506
355	0.1558697522
356	0.1555442021
357	0.1551634582
358	0.1548145561
359	0.1544864024
360	0.1542057347
361	0.1539264334
362	0.1535975549
363	0.1532402372
364	0.1527878299
365	0.1524888605
366	0.1521936369
367	0.1519390073
368	0.1516844828
369	0.1513654941
370	0.1510824565
371	0.15074337
372	0.1504547847
373	0.1502089782
374	0.1498391304
375	0.1495736265
376	0.1493892731
377	0.1491648987
378	0.148918012
379	0.1485569749
380	0.1482958529
381	0.1479776673
382	0.1476903656
383	0.1474389136
384	0.1471928618
385	0.1469863908
386	0.1466176485
387	0.1464549134
388	0.1461448768
389	0.1458467783
390	0.1456116408
391	0.1453071501
392	0.1450050493
393	0.1447361441
394	0.1445498119
395	0.1443469254
396	0.1440682956
397	0.1437794794
398	0.1435193414
399	0.1432674353
400	0.1429840891
401	0.1427744594
402	0.1424731989
403	0.1421433847
404	0.1419791234
405	0.1416546078
406	0.1415003523
407	0.141279903
408	0.1410504514
409	0.1409038495
410	0.140669412
411	0.1404643926
412	0.1402542968
413	0.1399920977
414	0.1397463409
415	0.1394891286
416	0.1392233876
417	0.1390831542
418	0.1389024957
419	0.1386492269
420	0.1384641944
421	0.1381873485
422	0.1379062908
423	0.1376588352
424	0.1374185545
425	0.1371816298
426	0.1370077785
427	0.1368390998
428	0.1366058315
429	0.1364084966
430	0.1361884216
431	0.1359227153
432	0.1356692229
433	0.1353795356
434	0.1351721935
435	0.1349472359
436	0.1348249648
437	0.1345856147
438	0.1344021978
439	0.1341807834
440	0.1340214074
441	0.133793938
442	0.1336106989
443	0.13335393
444	0.1332034824
445	0.132989011
446	0.1327515127
447	0.1325232553
448	0.1323357372
449	0.1321313039
450	0.1319103174
451	0.1317437834
452	0.1315452066
453	0.1313517497
454	0.1311433456
455	0.1309999491
456	0.1308079798
457	0.1305723493
458	0.1304101944
459	0.1302612057
460	0.1301202223
461	0.1299940822
462	0.1297991695
463	0.1296002827
464	0.1294171753
465	0.1292515975
466	0.1291209601
467	0.1289877249
468	0.1288384532
469	0.1287391991
470	0.1286243129
471	0.1285158781
472	0.1283614384
473	0.1281277649
474	0.1279792253
475	0.127811692
476	0.1276693466
477	0.1274738273
478	0.1273258896
479	0.127222471
480	0.1270617236
481	0.1268632804
482	0.1267226967
483	0.1265286432
484	0.126402882
485	0.1262172311
486	0.1260457424
487	0.125905063
488	0.1256695867
489	0.1255160863
490	0.1253293766
491	0.1251979619
492	0.1250666938
493	0.1249024816
494	0.1247981091
495	0.1246900907
496	0.1245344983
497	0.1243496695
498	0.1242295496
499	0.1240059636
500	0.123912942
501	0.1237367876
502	0.1236510024
503	0.1234911878
504	0.1233639387
505	0.1232004725
506	0.1230897668
507	0.122978343
508	0.1229357339
509	0.1228152659
510	0.1226512355
